ProductID,Category,Name,Price,Description,ImageURL
101,phone,Apple iPhone 15 128GB - Black,729.99,"iPhone 15 brings you Dynamic Island, a 48MP Main camera, and USB-C—all in a durable color-infused glass and aluminum design.",/images/Apple-iPhone-15-128GB-Black.webp
102,phone,Apple iPhone 15 128GB - Pink,729.99,"iPhone 15 brings you Dynamic Island, a 48MP Main camera, and USB-C—all in a durable color-infused glass and aluminum design.",/images/Apple-iPhone-15-128GB-Pink.webp
103,phone,Apple iPhone 14 128GB - Blue,599.99,iPhone 14. With the most impressive dual-camera system on iPhone. Capture stunning photos in low light and bright light. Get peace of mind with groundbreaking safety features. ,/images/Apple-iPhone-14-128GB-Blue.webp
104,phone,Samsung Galaxy A16 5G 128GB - Black,174.99,"Galaxy A16 5G delivers an awesome experience at an awesome value, bringing you everything you need at a great price. Stream your favorite shows on its large 6.7” display, enjoy smooth performance across all your apps and capture life’s special moments in detail with the triple-lens camera. Power through your day with a reliable Super Fast Charging battery, and stay connected to your family and friends with ultrafast 5G. Enjoy all the awesome perks that come with an A Series phone including Samsung Wallet, Samsung TV Plus and partner offers like three months of free Peacock Premium. Plus, with six years of OS and security updates, your phone helps keep you protected and up to date. Bring home a phone that delivers incredible value and makes your everyday a little easier.",/images/Samsung-Galaxy-A16-5G-128GB-Black.webp
105,phone,Samsung Galaxy S24 FE 128GB - Graphite,549.99,"Get more out of your experiences with a phone that brings the power of Galaxy AI to your everyday. Galaxy S24 FE is built to take your daily tasks and hobbies up a notch with Galaxy AI³ and more. Whether you’re making masterpieces out of memories with Photo Assist, making moments last with Instant Slow-Mo², enjoying your favorite entertainment on a dynamic display, bettering your wellness by connecting to Watch FE⁷ or seamlessly connecting in another language⁸, this device is equipped with all the essentials plus some exciting extras for the enhanced S Series experience.",/images/Samsung-Galaxy-S24-FE-128GB-Graphite.webp
106,phone,Samsung Galaxy S25+ 256GB - Navy,899.99,"Make life easier with an epic phone that really gets you. The intuitive Galaxy S25+ features the latest in AI to help make every day more effortless. Save time with a phone that feels almost like a real live personal assistant. Meeting friends for a night out? Ask your phone to search for the closest vegan restaurant and then text it to them. Galaxy S25+ handles multiple tasks with a single ask, freeing up time so you can focus on your look. Did you get to the restaurant early? Scroll through your feed on a display that enhances images on your screen, making all your favorite photos pop, with ProScaler. Better yet, rack up a few likes of your own with a stunning selfie captured with an improved camera that brings out the best in every face so your true self shines through. Rain expected on your way home? Luckily, your phone let you know before you headed out, keeping you a step ahead. Galaxy S25+ isn’t just an AI-enhanced phone —it’s a way to take some of the hassle out of your everyday.",/images/Samsung-Galaxy-S25+-256GB-Navy.webp
107,phone,Samsung Galaxy S25 Ultra 256GB - Black,1299.99,"Staying in the moment is easier than ever with the all-new Galaxy S25 Ultra. Its intelligent AI transforms into your own virtual assistant that evolves with you to work better for you. Let’s say you want to enjoy a night out with friends but don’t have time to plan. Just ask Galaxy S25 Ultra to invite your friends to the nearest bowling lounge tonight. Your phone will find the info and text it to them. You don’t need to slow down your speech or speak like a robot —just talk to your phone naturally, and it will understand. While you’re out rolling spares, Night Video brings out the details in every moment —even in low light —while Audio Eraser makes it easy to reduce distracting noises, like those pins crashing one lane over. Galaxy S25 Ultra also keeps up with your schedule and provides the weather forecast for your night, allowing you to stay a step ahead and adjust plans on the fly. With a phone as evolved as Galaxy S25 Ultra, you don’t have to sweat the small stuff —it’s handled intelligently.",/images/Samsung-Galaxy-S25-Ultra-256GB-Black.webp
108,phone,Google Pixel 8a 5G 128GB - Bay,399.99,"Meet Pixel 8a, engineered by Google. Take amazing photos with the Pixel Camera. And do more, even faster with Google AI. All at a great price. ",/images/Google-Pixel-8a-5G-128GB-Bay.webp
109,phone,Google Pixel 9 5G 128GB - Obsidian,649.99,"Meet Pixel 9 with Gemini. Engineered by Google, Pixel gets the best of Google’s AI first. So you can take amazing photos, make edits like magic, and get things done even easier. Pixel can protect against spam and other threats. It helps you in an emergency.10 And it’s built to last.",/images/Google-Pixel-9-5G-128GB-Obsidian.webp
110,phone,Nokia 2780 Flip Phone - Black,89.99,"Simple to use, clear to see Intuitive design that makes it easy to use, and a 1.77” external screen so you can easily see who’s calling. The bright 2.8” internal LCD display makes text even easier to read. Keep the conversation going with up to 7 hours of active talk time; or get up to 18 days of standby time from a single charge. The 5MP rear-camera lets you capture all those special moments in an instant. It also comes with video-recording and playback, for when you want to capture those longer memories. ",/images/Nokia-2780-Flip-Phone-Black.webp
111,computer,"HP - Envy 2-in-1 14"" Full HD Touch-Screen Laptop - Intel Core 5 - 8GB Memory - 512GB SSD - Natural Silver",799.99,"Whatever you do. Wherever you go. Be in your zone. You go where the work takes you so you need a laptop that can power you through your day. This HP ENVY x360 14-inch 2-in-1 Laptop levels up all you do, wherever you set up shop, with collaboration technology and power that won’t quit. And with a sustainable design, you can get after it, while doing a solid for the planet.",/images/HP-envy.webp
112,computer,"HP - 14"" Laptop - Intel Processor N150 - 4GB Memory - 128GB UFS - Natural Silver",199.99,"Performance to do more. All-day long. Designed to keep you productive and entertained, this HP 14-inch laptop PC features Copilot key for AI assistance, long battery life and a thin and portable design.",/images/HP-14.webp
113,computer,"Lenovo - IdeaPad 1i 15.6"" FHD Touchscreen Laptop - Intel Core i5 - 8GB Memory with 512GB SSD Storage - Abyss Blue",419.99,"The IdeaPad 1i raises the bar on every affordable laptop with a super-efficient up-to-12th Generation Intel processor in a thin and compact 17.9 mm chassis that makes multitasking a breeze while boosting energy efficiency with up-to-11 hours of battery life and rapid charge. Get more value with four-sided narrow bezels for maximum screen, Dolby Audio speakers and Flip to Start for instant bootup. Optimize your video call experience with a 1MP camera that comes with a privacy shutter to keep out prying eyes and Smart Noise Cancelling to cut out background noise.",/images/Lenovo-IdeaPad.webp
114,computer,Apple - MacBook Air 13-inch Apple M4 chip Built for Apple Intelligence - 16GB Memory - 256GB SSD - Midnight,999,"The 13-inch MacBook Air with the M4 chip lets you fly through work and play. With Apple Intelligence, a brilliant Liquid Retina display, up to 18 hours of battery life, and a strikingly thin and light design, it’s built to last and can take on just about anything, anywhere.",/images/Apple-MacBook.webp
115,computer,"Acer - Nitro 15.6\"" FHD IPS 144Hz Gaming Laptop -13th Gen Intel Core i7- NVIDIA GeForce RTX 4060-16GB DDR5-512GB SSD - Obsidian Black",749.99,"Elevate your gaming adventure with the Acer Nitro V 15, your gateway to an adrenaline-charged journey. This laptop is the perfect blend of power and style, pushing the boundaries of what’s possible on a laptop. Powered by a 13th Gen Intel Core processor and NVIDIA GeForce RTX 40-series graphics and showcasing a crystal-clear 15.6” Full HD display with a 144Hz IPS panel - you can see why the Nitro V 15 is a knockout hit for gamers of every level.",/images/Acer-Nitro.webp
116,computer,"HP - 23.8"" Full HD Touch-Screen All-in-One - Intel Core i5 - 8GB Memory - 512GB SSD - Starry White",649.99,"Work hard. Enjoy hard. The HP All-in-One blends the power of a desktop with the beauty of a slim, modern display. Get it all with the latest technology, impressive design, and sustainable materials in one dependable PC.",/images/HP-23.8.webp
117,computer,"Dell - Inspiron 24"" Touch-Screen All-In-One - AMD Ryzen 5 - 8GB Memory - 512GB SSD - Black",599.99,Introducing the latest Inspiron 24 All-in-One Desktop with a TV-inspired design and a display which features ComfortView Plus to help reduce harmful blue light and a flicker free panel optimizing eye comfort. Redesigning the front screen experience with a narrow 4-sided border with touch option for a clean look and feel. Stay up to date with the latest AMD 15W processors.,/images/Dell-Inspiron.webp
118,computer,"Lenovo - IdeaCentre AIO 27"" FHD IPS LCD Touch-Screen All-In-One - AMD Ryzen 5 7535HS - 8GB Memory - 512GB SSD - Gray",799.99,"A family PC for all generations, the Lenovo IdeaCentre AIO seamlessly handles heavy multitasking sessions from demanding households with an AMD Ryzen 5 processor, in a compact space-saving design that looks good anywhere you put it. Watch shows with the family on a vivid IPS FHD touch-screen display with room-filling audio by Nahimic Audio Solutions",/images/Lenovo-ideaCentre.webp
119,computer,CLX - Horus Gaming Desktop - Intel Core Ultra 9 285K - 96GB DDR5 5600 Memory - GeForce RTX 5080 - 2TB NVMe SSD - 8TB HDD - Black,3699.99,"Don't just compete with the best...destroy the best, game with the Superior, Unstoppable ""Falcon of War""...CLX Horus! An ultra high-performance gaming desktop PC built in the USA by Gamers, this CLX Horus gaming rig boasts the latest Intel Core Ultra 9 285K processor, utilizes an impressive 24 cores and speeds of up to 5.7GHz with turbo boost technology, as well as an included new NPU (Neural Processing Unit) for AI acceleration and optimal performance! An included 360mm AIO CLX Quench liquid cooling system for the CPU keeps the processor temps cool and performing at its best. An abundant 96GB of extremely fast, 5600MHz DDR5 high speed memory is included, that can be expanded up to a Max 256GB, will allow you to tear through any AAA game or competitor that comes your way! Superior performance demands serious good looks, and this CLX Horus gaming rig has been designed in the stunning black NV5 mid-tower chassis with impressive near-seamless front and side tempered glass, integrated Digital-RGB lighting, plus high airflow Ultra-fine performance mesh, along with eight stunning RGB fans. But what really makes this gaming rig stand out, is the included new 50-Series GeForce RTX 5080 16GB GDDR7 graphics card! Powered by NVIDIA Blackwell and a massive level of AI horsepower, this new GeForce 5080 has Fifth-Gen Tensor Cores, Fourth-Gen Ray Tracing Cores, and cutting-edge NVIDIA DLSS 4 with Multi Frame Generation that uses AI to boost FPS into the stratosphere! This CLX Horus is an ultra-advanced PC capable of 4K and 8K gaming! Rounding out this elite rig is an included large 2TB NVMe M.2 Solid-State Drive to access your AAA games quickly, along with a massive 8TB Hard Drive! Yes 8 TBs for storing any new games you acquire or files from design projects, video edits, or 3D models you may need to work on. WiFi 6E, Bluetooth, and 2.5 Gigabit high-speed network connectivity will keep you connected and in the game!  So, do you want to game with confidence, and destroy the competition? Then this superior CLX Horus elite, high-performance gaming system, that's ready to game above the rest, is waiting for you! Get one today!",/images/CLX-Horus-gaming.webp
120,computer,"Apple - iMac 24"" All-in-One - M3 chip - 8 Core CPU - 10 Core GPU - 8GB Memory - 512GB - Purple",1599,"iMac. The world’s best all-in-one desktop computer, now supercharged by the M3 chip. With a stunning 24-inch display in an iconic design and best-in-class camera, mics, and speakers. iMac is perfect for work and play.",/images/Apple-imac24.webp
121,television,"Toshiba - 50"" Class C350 Series LED 4K UHD Smart Fire TV",189.99,"Toshiba’s C350 series sets up a stunning, heart-shaking, smart world for your relaxing viewing experience, thanks to the consistent innovation of advanced technologies.  True-to-life images jump off the screen with amazing 4K Ultra HD resolution, ultimately beauty of details, and original natural color.  For a more immersive audio experience, a premium audio post-processing solution brings height to the entertainment experience that elevates surround sound formatting from DTS Virtual:.X.",/images/Toshiba-50.webp
122,television,"Insignia™ - 32"" Class F20 Series LED HD Smart Fire TV",89.99,"Access live over-the-air channels and streaming with this 32-inch TV—and control it all with your voice. Ask Alexa to launch apps, search for titles and more. A HD experience in 720p provides crystal clear images. You won’t miss a second with the Insignia NS-32F201NA23 32"" Class F20 Series LED HD Smart Fire TV.",/images/Insignia-32.webp
123,television,Samsung - 65” Class DU6900 Series Crystal UHD 4K Smart Tizen TV (2024),349.99,"This essential TV features a range of contrast and color and smart capabilities. Enjoy your content with richer details, brighter images and clearer resolution with 4K Upscaling.",/images/Samsung-65.webp
124,television,LG - 65” Class UT70 Series LED 4K UHD Smart webOS TV (2024),349.99,"Bring home 4K resolution in an impressive range of screen sizes with LG UHD TVs. Enjoy swift, easy browsing and tons of personalized recommendations including 300+ free LG channels you can't get anywhere else.¹",/images/LG-65.webp
